title,url,points,num_comments,category,created_at,search_term,metric
'Can't sell house' searches are higher now than during the 2008 housing crisis,https://www.morningstar.com/news/marketwatch/20260228147/cant-sell-house-searches-are-higher-now-than-during-the-2008-housing-crisis,14,13,LEVEL_3_CRISIS,2026-03-01T14:27:16Z,housing crisis,housing_despair
How the housing crisis is fucking up the kids,https://www.urbanproxima.com/p/how-the-housing-crisis-is-fucking,11,2,LEVEL_3_CRISIS,2026-03-30T13:36:30Z,housing crisis,housing_despair
"Build America, Buy America law causes construction delays amid US housing crisis",https://apnews.com/article/affordable-housing-construction-baba-hud-delays-4302744b3b5839268acaee92bf172eb9,11,2,LEVEL_3_CRISIS,2026-03-27T22:11:55Z,housing crisis,housing_despair
Why Building Alone Won't Solve the Housing Crisis,https://www.nytimes.com/2026/02/05/realestate/affordable-housing-insurance-studies.html,6,2,LEVEL_3_CRISIS,2026-02-05T20:22:33Z,housing crisis,housing_despair
The double standards driving our housing crisis,https://www.vox.com/future-perfect/476647/housing-crisis-affordability-building-codes-yimby,6,1,LEVEL_3_CRISIS,2026-02-04T20:36:32Z,housing crisis,housing_despair
How Congress Plans to Take on the Housing Crisis,https://www.wsj.com/economy/housing/how-congress-plans-to-take-on-the-housing-crisis-76bf027c,4,14,LEVEL_3_CRISIS,2026-03-31T16:13:57Z,housing crisis,housing_despair
"It's Not a Values Crisis, It's a Housing Crisis",https://maxmautner.com/2026/04/30/housing-crisis-not-values-crisis.html,3,0,LEVEL_3_CRISIS,2026-05-01T20:42:19Z,housing crisis,housing_despair
The Most Concrete Indicator of a Housing Crisis,https://shonczinner.substack.com/p/the-most-concrete-indicator-of-a,2,2,LEVEL_3_CRISIS,2026-02-20T01:18:00Z,housing crisis,housing_despair
Digging Out of the U.S. Housing Affordability Crisis,https://www.cbreim.com/insights/articles/digging-out-of-the-us-housing-affordability-crisis,2,0,LEVEL_3_CRISIS,2026-03-27T19:57:59Z,housing crisis,housing_despair
Airbnb in firing line as Cape Town's housing crisis catches up with middle class,https://www.theguardian.com/world/2026/mar/24/airbnb-cape-town-housing-crisis-middle-class,2,0,LEVEL_3_CRISIS,2026-03-24T16:34:35Z,housing crisis,housing_despair
Home-building robots could help fix the housing crisis,https://www.cnn.com/world/home-building-robots-housing-crisis-auar-spc,1,2,LEVEL_3_CRISIS,2026-03-09T08:14:02Z,housing crisis,housing_despair
The Housing Crisis as a Land Crisis,https://progressandpoverty.substack.com/p/the-housing-crisis-as-a-land-crisis,1,1,LEVEL_3_CRISIS,2026-02-10T17:31:17Z,housing crisis,housing_despair
They're Building the Housing Crisis [video][15 min],https://www.youtube.com/watch?v=VFnfamZ-p14,1,0,LEVEL_3_CRISIS,2026-04-02T11:25:49Z,housing crisis,housing_despair
Surviving large migrations: Metrolink and the housing crisis,https://thesidedish.flipdish.com/surviving-large-migrations-metrolink-and-the-housing-crisis-5839c2e75279,1,0,LEVEL_3_CRISIS,2026-02-27T16:09:46Z,housing crisis,housing_despair
Rhode Island Files First-in-Nation Single-Room Occupancy Model Legislation,https://ij.org/press-release/rhode-island-files-first-in-nation-single-room-occupancy-model-legislation-room-act-to-combat-housing-crisis/,6,4,LEVEL_1_AWARE,2026-03-04T13:28:58Z,housing crisis,housing_despair
"Try Living in Cape Town, Where 70% of Downtown Housing Is for Tourists",https://www.nytimes.com/2026/04/01/world/africa/cape-town-housing-crisis.html,5,2,LEVEL_1_AWARE,2026-04-01T14:55:24Z,housing crisis,housing_despair
The Great American Condo Crisis,https://www.theatlantic.com/ideas/2026/03/condo-housing-affordability-crisis/686353/,1,0,LEVEL_3_CRISIS,2026-03-15T21:43:25Z,housing crisis,housing_despair
Show HN: GrahamBell – This is what Bitcoin mining looked like in 2009,https://news.ycombinator.com/item?id=46885212,3,0,LEVEL_1_AWARE,2026-02-04T12:48:11Z,can't afford home,housing_despair
GLP-1 Second-Order Effects,https://news.ycombinator.com/item?id=47125345,22,9,LEVEL_1_AWARE,2026-02-23T17:18:24Z,rent too high,housing_despair
"Show HN: Remy, an AI agent that compiles annotated Markdown into full-stack apps",https://remy.msagent.ai/,5,1,LEVEL_1_AWARE,2026-04-13T13:41:07Z,rent too high,housing_despair
Show HN: Sentient OS – On-device intelligence layer for your entire digital life,https://sentient-os.ai,2,2,LEVEL_1_AWARE,2026-05-02T18:40:54Z,rent too high,housing_despair
Show HN: Mockingjay – Video recorder that encrypts and uploads as you record,https://apps.apple.com/no/app/mockingjay-secure-recorder/id6758616261,1,0,LEVEL_1_AWARE,2026-02-26T12:15:14Z,rent too high,housing_despair
Show HN: Using Tailscale with Apple's containerization stack,https://github.com/highpost/tailscale-macos-container,2,1,LEVEL_1_AWARE,2026-05-04T00:01:25Z,rent too high,housing_despair
