title,url,points,num_comments,category,created_at,search_term,metric
Show HN: AI system 60x faster than ChatGPT – built by combat vet with no degree,https://news.ycombinator.com/item?id=46245636,7,5,LEVEL_1_AWARE,2025-12-12T16:24:13Z,paycheck to paycheck,wage_stagnation
"Court Filings: ICE App Identifies Protesters; Global Entry, PreCheck Get Revoked",https://viewfromthewing.com/court-filings-ice-uses-mobile-fortify-to-identify-protesters-global-entry-and-precheck-get-revoked/,225,91,LEVEL_1_AWARE,2026-01-31T02:29:45Z,paycheck to paycheck,wage_stagnation
How do I make $10k (What are you guys doing?),https://news.ycombinator.com/item?id=46731401,31,47,LEVEL_1_AWARE,2026-01-23T11:50:40Z,can't afford rent,wage_stagnation
Show HN: Open-source expense and budget tracker with SQL API for AI agents,https://github.com/kirill-markin/expense-budget-tracker,1,0,LEVEL_1_AWARE,2026-03-02T09:53:58Z,can't afford rent,wage_stagnation
Ask HN: We're building a saving app for European savers and need GTM advice,https://news.ycombinator.com/item?id=46994985,6,16,LEVEL_1_AWARE,2026-02-12T20:52:28Z,can't afford rent,wage_stagnation
Show HN: GHOSTYPE – AI voice input that learns your writing style,https://news.ycombinator.com/item?id=46971643,1,1,LEVEL_1_AWARE,2026-02-11T06:35:56Z,can't afford rent,wage_stagnation
"Garbage In, Garbage Out: The Degradation of Human Requirements in the LLM Era",https://news.ycombinator.com/item?id=47196746,7,4,LEVEL_1_AWARE,2026-02-28T15:51:27Z,can't afford rent,wage_stagnation
Show HN: Exponential CMS 6.0.11 – PHP 8.5 Support for a CMS Born in the 1990s,https://exponential.earth,5,2,LEVEL_1_AWARE,2026-01-02T09:14:17Z,wages not keeping up,wage_stagnation
We've given up on keeping our initial arch docs/specs up to date.Should I worry?,https://news.ycombinator.com/item?id=46758406,1,0,LEVEL_1_AWARE,2026-01-25T21:24:25Z,wages not keeping up,wage_stagnation
Launch HN: Nia (YC S25) – Give better context to coding agents,https://www.trynia.ai/,131,87,LEVEL_1_AWARE,2025-12-08T17:10:14Z,wages not keeping up,wage_stagnation
Show HN: Oorian – Build real-time web applications in Pure Java,https://oorian.com,3,2,LEVEL_1_AWARE,2026-01-19T16:06:34Z,wages not keeping up,wage_stagnation
Show HN: I'm building an open-source AI agent runtime using Firecracker microVMs,https://github.com/moru-ai/moru,3,1,LEVEL_1_AWARE,2026-01-15T17:18:30Z,wages not keeping up,wage_stagnation
Show HN: Two-Dimensional Phase Portrait Plotter,https://haraldrevery.com/notebook_pages/2dphaseportrait,1,0,LEVEL_1_AWARE,2026-02-14T13:35:18Z,wages not keeping up,wage_stagnation
"Show HN: ClawNet – Agent-first communication infrastructure (email, DMs, feed)",https://clwnt.com,3,3,LEVEL_1_AWARE,2026-02-28T22:36:20Z,wages not keeping up,wage_stagnation
WatchPennies: Compare Cost of Living Across U.S. Counties,https://watchpennies.com/,3,1,LEVEL_1_AWARE,2025-12-07T15:12:38Z,cost of living,wage_stagnation
CA Taxes and Cost of Living,https://www.sfgate.com/california/article/six-figure-salary-california-21938779.php,3,0,LEVEL_1_AWARE,2026-02-25T15:05:38Z,cost of living,wage_stagnation
Where to work: compare cost of living and PPP worldwide,https://whereto.work/compare/toronto-canada/ottawa-canada,1,1,LEVEL_1_AWARE,2026-02-23T22:19:06Z,cost of living,wage_stagnation
Ask HN: Co-Founder Salary Dispute,https://news.ycombinator.com/item?id=46191542,3,5,LEVEL_1_AWARE,2025-12-08T12:38:06Z,cost of living,wage_stagnation
"We built the ""Excel of Finance Apps,"" but the growth isn't there. Next move?",https://news.ycombinator.com/item?id=46608663,2,8,LEVEL_1_AWARE,2026-01-13T21:46:52Z,cost of living,wage_stagnation
Show HN: Latameo – exploring what it's like to live in Latin American cities,https://latameo.com/explore,2,0,LEVEL_1_AWARE,2025-12-21T19:58:39Z,cost of living,wage_stagnation
Show HN: Compare what your current rent gets you in other cities,https://rentcheckr.app/,1,0,LEVEL_1_AWARE,2025-12-28T15:24:19Z,cost of living,wage_stagnation
The new breed of 'zero bills' homes where you pay nothing for your energy,https://news.sky.com/story/what-cost-of-living-crisis-why-elliott-pays-absolutely-nothing-to-power-his-home-13496916,4,0,LEVEL_1_AWARE,2026-01-21T15:28:00Z,cost of living,wage_stagnation
Could an electric blanket save you £4k this winter?,https://www.freelanceinformer.com/cost-of-living/could-an-electric-blanket-really-save-you-4000-this-winter-the-heating-alternatives-that-cost-98-less-than-central-heating/,1,2,LEVEL_1_AWARE,2025-12-23T09:31:02Z,cost of living,wage_stagnation
"Ask HN: Where is society heading, is there a plan for a jobless future?",https://news.ycombinator.com/item?id=46734194,17,35,LEVEL_1_AWARE,2026-01-23T16:11:36Z,cost of living,wage_stagnation
Perfect agreement is a warning sign you're talking to yourself,https://news.ycombinator.com/item?id=47094223,2,0,LEVEL_1_AWARE,2026-02-20T21:28:28Z,cost of living,wage_stagnation
"Show HN: My Tizen multiplayer drawing game flopped, but then hit 100M drawings",https://www.drawize.com/,39,14,LEVEL_1_AWARE,2025-12-16T16:02:39Z,cost of living,wage_stagnation
36yo: Career at home vs. Simple life abroad?,https://news.ycombinator.com/item?id=47178029,12,34,LEVEL_1_AWARE,2026-02-27T08:25:00Z,cost of living,wage_stagnation
Tell HN: Intel could blow up the Console Wars if it had the guts,https://news.ycombinator.com/item?id=46607497,9,14,LEVEL_1_AWARE,2026-01-13T20:33:25Z,cost of living,wage_stagnation
"Discuss: Linux has been solid for a long time, come on in – the water is fine",https://news.ycombinator.com/item?id=46797069,8,5,LEVEL_1_AWARE,2026-01-28T16:01:02Z,cost of living,wage_stagnation
Ask HN: Incorporate in Which Country?,https://news.ycombinator.com/item?id=46325448,5,2,LEVEL_1_AWARE,2025-12-19T13:13:37Z,cost of living,wage_stagnation
"25 years after the Agile, did the industry help or hurt software development?",https://news.ycombinator.com/item?id=47014773,3,1,LEVEL_1_AWARE,2026-02-14T14:24:45Z,cost of living,wage_stagnation
Show HN: Selling my painting to fund a Steam Cleaning startup in Libya,https://juicebox.money/v5/base:139,2,5,LEVEL_1_AWARE,2026-02-27T03:42:49Z,cost of living,wage_stagnation
Ask HN: Will GPU and RAM prices ever go down?,https://news.ycombinator.com/item?id=46925529,2,5,LEVEL_1_AWARE,2026-02-07T17:16:23Z,cost of living,wage_stagnation
Jaw health campaign – looking for funding,https://news.ycombinator.com/item?id=46656800,1,2,LEVEL_1_AWARE,2026-01-17T10:05:53Z,cost of living,wage_stagnation
Show HN: Ditch your budget app subscription. Surebeans is a modern YNAB4,https://surebeans.net/,1,0,LEVEL_1_AWARE,2026-02-28T14:56:24Z,cost of living,wage_stagnation
Ask HN: How to approach new people in 2026?,https://news.ycombinator.com/item?id=47210769,9,9,LEVEL_1_AWARE,2026-03-01T21:19:09Z,cost of living,wage_stagnation
Ask HN: Any AI / Agent power users out there? Do you have any tips?,https://news.ycombinator.com/item?id=47058199,9,9,LEVEL_1_AWARE,2026-02-18T07:15:50Z,cost of living,wage_stagnation
An OpenClaw agent that blogs 24/7 and builds its own host,https://news.ycombinator.com/item?id=47214461,3,0,LEVEL_1_AWARE,2026-03-02T06:14:36Z,cost of living,wage_stagnation
Show HN: PgDog – Scale Postgres without changing the app,https://github.com/pgdogdev/pgdog,325,64,LEVEL_1_AWARE,2026-02-23T15:33:24Z,cost of living,wage_stagnation
"ClawHost – One-click, self-hosted OpenClaw deployments you own",https://news.ycombinator.com/item?id=47213733,2,0,LEVEL_1_AWARE,2026-03-02T04:01:43Z,cost of living,wage_stagnation
