search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
insurance denied my claim,tPWkOzKx624,https://www.youtube.com/watch?v=tPWkOzKx624,Washtenaw County family offers warning after insurance denies claim,A Chelsea area family says they were told a Christmas Eve car accident wouldn't be covered because their children under two ...,2026-01-05,133776,,LEVEL_1_AWARE,
insurance denied my claim,EqKom3d2CnA,https://www.youtube.com/watch?v=EqKom3d2CnA,"The insurance denied his $85,000 claim — then the judge found this 🚩","A policyholder filed an $85000 insurance claim after significant property damage. The insurance company denied the claim, ...",2026-03-26,26070,denied,LEVEL_2_STRUGGLING,
insurance denied my claim,H5ASyThZqD8,https://www.youtube.com/watch?v=H5ASyThZqD8,"LawCall Jackson, MS - Insurance Denied My Electric Storm Claim - 2025",Insurance covered the stove but nothing else after an electric storm. What can I do to claim the rest? Attorney Rocky Wilkins of ...,2026-01-24,5,denied,LEVEL_2_STRUGGLING,
insurance denied my claim,PfKKHZdLfdE,https://www.youtube.com/watch?v=PfKKHZdLfdE,What to Do When Your Insurance Claim is Denied | CancerCare,"Nearly every cancer patient will face an insurance denial at some point, whether it's for a life-saving medication, a diagnostic test, ...",2026-02-19,5916,"denied, life-saving",LEVEL_3_CRISIS,
insurance denied my claim,QV_OosbOUMw,https://www.youtube.com/watch?v=QV_OosbOUMw,"Insurance Claim Denied, Flip That Denial &amp; Get Paid",Has your Florida homeowners insurance claim been stamped DENIED? Don't panic—and definitely don't give up! I'm Janeen ...,2026-01-25,36,"denied, claim denied",LEVEL_2_STRUGGLING,
insurance denied my claim,Y_84AA3VOYI,https://www.youtube.com/watch?v=Y_84AA3VOYI,Texas homeowners win big after suing insurer for denied claim,Advocates say the decision will empower homeowners to take on insurance companies. Critics warn it will lead to the misuse and ...,2026-03-06,17521,denied,LEVEL_2_STRUGGLING,
insurance denied my claim,79oFavvw1tU,https://www.youtube.com/watch?v=79oFavvw1tU,8 Car Insurance Companies That Will Instantly DENY Your Claims (Avoid at All Cost!!!),"Car insurance companies are charging MORE than ever in 2026… but are they actually paying claims? In this video, we expose 8 ...",2026-02-23,1360,,LEVEL_1_AWARE,
insurance denied my claim,2O2kQsWRoo4,https://www.youtube.com/watch?v=2O2kQsWRoo4,8 Car Insurance Companies That Will DENY Your Claims (The Betrayal!),"Car insurance complaints rose 7.5% in 2025, with premiums up nearly 40% since 2021 — yet policyholders are getting less in ...",2026-02-18,93190,,LEVEL_1_AWARE,
insurance denied my claim,A633EejpTUY,https://www.youtube.com/watch?v=A633EejpTUY,What To Do If Insurance Denies Your Claim (Step-by Step Guide),"Insurance denied your claim? Don't Panic. In this video, I walk you though exactly what to do step-by-step so you don't pay for ...",2026-03-29,5,denied,LEVEL_2_STRUGGLING,
insurance denied my claim,697zIn314zM,https://www.youtube.com/watch?v=697zIn314zM,Why Your Home Insurance Will Deny Your Water Damage Claim (2026 Update),Why Your Home Insurance Will Deny Your Water Damage Claim (2026 Update) Most homeowners think water damage is ...,2026-02-02,19931,,LEVEL_1_AWARE,
insurance denied my claim,SRPOoPDN-7w,https://www.youtube.com/watch?v=SRPOoPDN-7w,State of denial: How insurance companies impact health care today,"Millions of Americans are struggling with medical care – either unable to pay high premiums, burdened with high deductibles, ...",2026-01-11,153442,,LEVEL_1_AWARE,
insurance denied my claim,GbmKG25mVtg,https://www.youtube.com/watch?v=GbmKG25mVtg,GEICO sues Oakland County woman for not listing her 12-year-old daughter on car insurance policy,"GEICO is suing a Southfield-area woman because she did not list her 12-year-old daughter, who does not drive, on her personal ...",2026-01-12,846863,,LEVEL_1_AWARE,
insurance denied my claim,ei2g9M_ezD0,https://www.youtube.com/watch?v=ei2g9M_ezD0,Geico ALMOST Denied a Claim Because of Undisclosed Kids in Family,Although many news outlets reported Geico denied the claim in question - the claim was not denied. Geico had raised the issue of ...,2026-01-10,56957,denied,LEVEL_2_STRUGGLING,
insurance denied my claim,uHXZ6bbt_lc,https://www.youtube.com/watch?v=uHXZ6bbt_lc,My House Burned Down | Insurance Denied My Claim | Said I Committed Arson | Then I Found...,[The Fire That Changed Everything] Lisa Bergman's house burned down in an electrical fire. The fire department confirmed it was ...,2026-01-02,2,denied,LEVEL_2_STRUGGLING,
insurance denied my claim,DN8sGKNWM4E,https://www.youtube.com/watch?v=DN8sGKNWM4E,Michigan lawmakers propose bill after Local 4 investigation into auto insurance claim denials,Michigan lawmakers are proposing new legislation in response to a series of Local 4 investigations that pulled back the curtain on ...,2026-02-16,12681,,LEVEL_1_AWARE,
can't afford healthcare,yiCZ6EdRDkY,https://www.youtube.com/watch?v=yiCZ6EdRDkY,Healthcare CRISIS in America | Americans CAN&#39;T AFFORD health insurance 😱,This video shares real stories from Americans in 2025 struggling with healthcare costs. From surprise medical bills to choosing ...,2026-01-09,261,,LEVEL_1_AWARE,
can't afford healthcare,3KdijgVwlw0,https://www.youtube.com/watch?v=3KdijgVwlw0,Why Americans Can’t Afford Healthcare in 2026,"Healthcare costs in America are out of control — and in 2026, getting sick can feel like a financial death sentence.",2026-01-20,137,,LEVEL_1_AWARE,
can't afford healthcare,GtbBHzQDWhY,https://www.youtube.com/watch?v=GtbBHzQDWhY,Millions of Americans Can’t Afford to Get Sick Anymore,"Is your ""Unlucky Tuesday"" around the corner? In 2026, healthcare in America is no longer just a service—it's a financial landmine.",2026-02-03,84,,LEVEL_1_AWARE,
can't afford healthcare,lsxxWGpc_fE,https://www.youtube.com/watch?v=lsxxWGpc_fE,Retiring Before 65? This Is How People Actually Afford Health Insurance,"Healthcare is one of the biggest — and most misunderstood — obstacles to early retirement. In this video, we break down how ...",2025-12-30,138180,,LEVEL_1_AWARE,
can't afford healthcare,U8Rt46Tg26U,https://www.youtube.com/watch?v=U8Rt46Tg26U,Trump Supporter Shocked After Losing Health Insurance/Regular Americans Can&#39;t Afford Health Care,Trump Supporter Shocked After Losing Health Insurance/Regular Americans Can't Afford Health Care #africandiaspora ...,2026-02-01,4528,,LEVEL_1_AWARE,
can't afford healthcare,Kkmb-iwRVxE,https://www.youtube.com/watch?v=Kkmb-iwRVxE,They Voted Against Obamacare… Now Florida MAGA Can’t Afford Healthcare,Florida Trump supporters proudly voted to end Obamacare — now many are facing skyrocketing healthcare costs and losing ...,2026-01-11,31,,LEVEL_1_AWARE,
can't afford healthcare,ywi1J9hIQKI,https://www.youtube.com/watch?v=ywi1J9hIQKI,"America: The richest country ever, or too broke for universal healthcare?","we can't afford healthcare, but we can afford war AND the consequences that our generation will be dealing with for decades to ...",2026-03-09,124696,,LEVEL_1_AWARE,
can't afford healthcare,TtHtBCzfrjE,https://www.youtube.com/watch?v=TtHtBCzfrjE,Florida MAGAS Voted To End OBAMACARE Now They Are CRYING Because They Can&#39;t AFFORD Healthcare. #fafo,"Florida voters cheered for politicians who promised to tear down Obamacare—now they're shocked, outraged, and drowning in ...",2026-01-18,13552,,LEVEL_1_AWARE,
can't afford healthcare,hZSPdnlxetw,https://www.youtube.com/watch?v=hZSPdnlxetw,MAGA VOTED for Trump and now they Can&#39;t AFFORD Healthcare,"This video critically examines the extensive ""military spending"" by the ""united states"" and its impact on domestic priorities.",2026-03-21,226,,LEVEL_1_AWARE,
can't afford healthcare,Oo-jUMQgCew,https://www.youtube.com/watch?v=Oo-jUMQgCew,Florida Trump Supporters Voted to End Obamacare Now They Can&#39;t Afford Healthcare ,"Florida voted MAGA — and now the healthcare FAFO season has officially arrived. In this video, we break down how Florida's ...",2026-01-05,161750,,LEVEL_1_AWARE,
can't afford healthcare,SSXSHIe7JPY,https://www.youtube.com/watch?v=SSXSHIe7JPY,Why Millions  of Americans Can&#39;t AFFORD Healthcare ,"In this video, I share my reaction and commentary on how healthcare in America has become too expensive for millions of people.",2026-02-22,681,,LEVEL_1_AWARE,
can't afford healthcare,u5zKtokO0qw,https://www.youtube.com/watch?v=u5zKtokO0qw,Florida MAGAs Voted To End OBAMACARE Now They Are CRYING Because They Can&#39;t AFFORD Healthcare ,augustreacts #blackcommunity #florida #blacktiktok #floridamaga #maga #economy #trumpvoters #politicalanalysis ...,2026-01-07,701046,,LEVEL_1_AWARE,
can't afford healthcare,q0ToTJqAMsM,https://www.youtube.com/watch?v=q0ToTJqAMsM,The Real Reason Americans Can&#39;t Afford to Get Sick,An ambulance ride costs $1200 in America. Before you even reach the hospital. Before any treatment. Just the ride. And that's ...,2026-03-04,5,,LEVEL_1_AWARE,
can't afford healthcare,mk17Vup4XOM,https://www.youtube.com/watch?v=mk17Vup4XOM,Florida MAGA voted to end Obamacare now they can&#39;t afford healthcare,Florida is in trouble under Trump and Desantis. Do you think that Trump has a concept of a plan regarding our healthcare?,2026-02-14,32859,,LEVEL_1_AWARE,
can't afford healthcare,SdpVMhj_XyI,https://www.youtube.com/watch?v=SdpVMhj_XyI,People Can’t Afford Health Insurance Anymore,"Millions of Americans are canceling their health insurance as premiums, deductibles, and medical costs continue to rise.",2026-03-12,17,,LEVEL_1_AWARE,
medical bankruptcy,t1w3uEUyIzM,https://www.youtube.com/watch?v=t1w3uEUyIzM,"New UW study looks at medical debt, bankruptcy among insured",A new study by the University of Washington shows many working-age Americans are vulnerable to bankruptcy after ...,2026-02-14,986,"bankruptcy, medical debt",LEVEL_3_CRISIS,
medical bankruptcy,azt79P0Hns0,https://www.youtube.com/watch?v=azt79P0Hns0,Why You&#39;re Paying Medical Bills Wrong | Dr. Virgie Bright Ellington | TEDxColeParkStudio,Watch until the end for 3 life-saving tips to beat unfair medical bills. What happens when a doctor becomes a patient—and ...,2026-02-02,753,life-saving,LEVEL_3_CRISIS,
medical bankruptcy,MRVFuZmUyPQ,https://www.youtube.com/watch?v=MRVFuZmUyPQ,Medical Bankruptcy Kills 67% of Patients Within 2 Years - Here&#39;s Why,medical bankruptcy = death sentence #healthcare #money #bankruptcy #Shorts.,2026-03-27,0,bankruptcy,LEVEL_3_CRISIS,
medical bankruptcy,GDHFtuxx4PU,https://www.youtube.com/watch?v=GDHFtuxx4PU,These States Will BANKRUPT You for Getting Sick (2026 Data),"Seven U.S. states are one medical emergency away from bankrupting their residents in 2026, and three federal protections that ...",2026-03-06,299,emergency,LEVEL_3_CRISIS,
medical bankruptcy,nw7fJ5T1Acs,https://www.youtube.com/watch?v=nw7fJ5T1Acs,This Is How Patients Go Bankrupt,Medical debt and delayed billing cause bankruptcy even for insured patients. #MedicalDebt #HealthcareReform #DoctorExplains ...,2026-02-04,304,"bankruptcy, medical debt",LEVEL_3_CRISIS,
medical bankruptcy,bBl9D5RVPmc,https://www.youtube.com/watch?v=bBl9D5RVPmc,"600,000 People Will Go Bankrupt Over Medical Bills!!!",Over 600000 people are expected to go bankrupt in the next 12 months due to medical bills. A look at how healthcare costs can ...,2026-02-20,835,,LEVEL_1_AWARE,
medical bankruptcy,67k00lxec3w,https://www.youtube.com/watch?v=67k00lxec3w,Medical Bankruptcy Kills 67% of Patients Within 2 Years - Here&#39;s How,Medical bankruptcy = death sentence #healthcare #bankruptcy #medical #usa #Shorts.,2026-03-25,1,bankruptcy,LEVEL_3_CRISIS,
medical bankruptcy,Po8td-1Cw1A,https://www.youtube.com/watch?v=Po8td-1Cw1A,Nobody Tells You This About Bankruptcy,"Many people don't realize bankruptcy can stop collections, lawsuits, wage garnishment, and even judgments. If you're dealing ...",2026-03-27,1097,"bankruptcy, collections",LEVEL_3_CRISIS,
medical bankruptcy,5HmzwU58dFw,https://www.youtube.com/watch?v=5HmzwU58dFw,Japan Doesn&#39;t Let You Go Broke Getting Sick. Here&#39;s the Exact points.,"Discover how Japan's innovative healthcare system ensures no one goes bankrupt from medical bills, unlike in many other ...",2026-02-22,354,,LEVEL_1_AWARE,
medical bankruptcy,eQuv1sJJOZQ,https://www.youtube.com/watch?v=eQuv1sJJOZQ,Is Bankruptcy Worth It? One Client&#39;s Honest Review,"When a cancer diagnosis turned his world upside down, he was facing mountains of medical debt, no income, and the very real ...",2026-03-25,280,"bankruptcy, medical debt",LEVEL_3_CRISIS,
medical bankruptcy,dbATha8PqOM,https://www.youtube.com/watch?v=dbATha8PqOM,Struggling with medical debt? These nonprofits aim to help alleviate mounting costs.,"For families already feeling the financial squeeze, medical debt can pile up, even with insurance. But managing, negotiating or ...",2026-03-09,133,medical debt,LEVEL_3_CRISIS,
medical bankruptcy,fMwz0iYVgSw,https://www.youtube.com/watch?v=fMwz0iYVgSw,The Family Who Built a Legal Drug Cartel &amp; Made $10 Billion,The Family Who Built a Legal Drug Cartel & Made $10 Billion How did a single pharmaceutical company create the deadliest drug ...,2026-03-26,20769,,LEVEL_1_AWARE,
medical bankruptcy,V5BPOKtssgQ,https://www.youtube.com/watch?v=V5BPOKtssgQ,7 Years In Bankruptcy: What Went Wrong? | On The Red Dot,"Growing up in rental flats, Sujuan believed education was her path out of poverty. But without the funds for university, she turned ...",2026-03-03,150587,bankruptcy,LEVEL_3_CRISIS,
medical bankruptcy,Iw8wRekoklM,https://www.youtube.com/watch?v=Iw8wRekoklM,MAGA Voters Shocked to Learn European Healthcare Is Free!,"""Recently, a large group of maga voters stumbled upon a shocking reality: medical care across the ocean doesn't come with ...",2026-03-21,73389,,LEVEL_1_AWARE,
medical bankruptcy,dwPJG3hNvM8,https://www.youtube.com/watch?v=dwPJG3hNvM8,66.5% Bankruptcy Due to Medical Bills! The Deadly Loophole in the U.S. Health Care System,Can You Go Bankrupt on Your Medical Bills Even With Health Insurance? The Brutal Truth About the U.S. Healthcare System You ...,2026-01-19,0,bankruptcy,LEVEL_3_CRISIS,
