title,url,points,num_comments,category,created_at,search_term,metric
Show HN: Jottings; Anti-social microblog for your thoughts,https://jottings.me/,28,16,LEVEL_1_AWARE,2025-12-12T08:32:13Z,priced out,housing_despair
"Ask HN: If you only needed 200 customers at$49, how would you approach it?",https://news.ycombinator.com/item?id=46411996,12,17,LEVEL_1_AWARE,2025-12-28T16:02:37Z,priced out,housing_despair
Show HN: PrintReadyBook,https://printreadybook.com/,9,14,LEVEL_1_AWARE,2026-01-11T03:56:19Z,priced out,housing_despair
Show HN: How NBA teams perform vs. prediction market expectations,https://news.ycombinator.com/item?id=46617567,4,4,LEVEL_1_AWARE,2026-01-14T15:56:40Z,priced out,housing_despair
"Show HN: Building the ClassPass for coworking spaces, would love your thoughts",https://lans.app/,4,0,LEVEL_1_AWARE,2026-01-17T04:54:08Z,priced out,housing_despair
Show HN: I built an AI coach for introverted leaders,https://www.leadquiet.com/landing,3,0,LEVEL_1_AWARE,2026-01-21T20:25:56Z,priced out,housing_despair
Show HN: Emotional photoreal AI humans at $0.06 / min,https://news.ycombinator.com/item?id=47064485,2,3,LEVEL_1_AWARE,2026-02-18T18:36:47Z,priced out,housing_despair
Show HN: Keyhold.io – zero-knowledge custody of secrets [that aren't yours],https://keyhold.io,1,0,LEVEL_1_AWARE,2026-01-24T18:04:09Z,priced out,housing_despair
RegentLock – Software licensing for desktop/offline apps,https://news.ycombinator.com/item?id=46414405,1,0,LEVEL_1_AWARE,2025-12-28T20:55:40Z,priced out,housing_despair
Is AI a Bubble? Why We're Betting on the Installation Phase,https://news.ycombinator.com/item?id=46226513,1,0,LEVEL_1_AWARE,2025-12-11T01:23:21Z,priced out,housing_despair
Memory Price Outlook for 1Q26 Sharply Upgraded,https://www.trendforce.com/presscenter/news/20260202-12911.html,2,0,LEVEL_1_AWARE,2026-02-03T17:49:32Z,priced out,housing_despair
You Can't Price per Outcome If You Don't Know Your Cost per Outcome,https://botanu.ai/blog/outcome-pricing-needs-outcome-cost,1,0,LEVEL_1_AWARE,2026-02-14T21:31:05Z,priced out,housing_despair
"Ask HN: Launching niche service soon, how should I prepare?",https://news.ycombinator.com/item?id=46518664,2,1,LEVEL_1_AWARE,2026-01-06T21:01:30Z,priced out,housing_despair
Show HN: We built a free VC platform that shares data between GPS and founders,https://vistaley.com/,2,0,LEVEL_1_AWARE,2026-02-17T19:44:08Z,priced out,housing_despair
Ask HN: How would you formalize a time-based macroeconomic model?,https://news.ycombinator.com/item?id=46389271,1,1,LEVEL_1_AWARE,2025-12-26T04:38:17Z,priced out,housing_despair
Show HN: Deterministic state machine to sonify trading volatility,https://news.ycombinator.com/item?id=46600978,1,0,LEVEL_1_AWARE,2026-01-13T13:58:48Z,priced out,housing_despair
Carolina Cloud – One third the cost of AWS for data science workloads,https://carolinacloud.io/,142,76,LEVEL_1_AWARE,2025-12-14T21:43:35Z,priced out,housing_despair
Sendnow – Free DocSend/Seismic alternative for file tracking and microsites,https://news.ycombinator.com/item?id=46656314,2,1,LEVEL_1_AWARE,2026-01-17T08:39:34Z,priced out,housing_despair
Show HN: minfern – Type inference for JavaScript without transpilation,https://github.com/sinelaw/minfern,2,1,LEVEL_1_AWARE,2025-12-28T12:50:42Z,priced out,housing_despair
Ask HN: How to get good at RAW image editing?,https://news.ycombinator.com/item?id=46419526,2,0,LEVEL_1_AWARE,2025-12-29T11:16:27Z,priced out,housing_despair
Stock price of loss-making companies outperform profitable ones,https://www.apolloacademy.com/stock-market-performance-since-liberation-day/,2,0,LEVEL_1_AWARE,2025-12-04T19:03:19Z,priced out,housing_despair
"Show HN: Underpriced AI – Snap a photo, get instant resale value with AI",https://underpricedai.com,10,4,LEVEL_1_AWARE,2026-01-03T16:47:38Z,priced out,housing_despair
"Show HN: B2B air monitors as ""Pay What You Want"" for a global study:)",https://news.ycombinator.com/item?id=46305466,3,2,LEVEL_1_AWARE,2025-12-17T21:02:46Z,priced out,housing_despair
Show HN: CommerceTXT – An open standard for AI shopping context (like llms.txt),https://commercetxt.org/,20,58,LEVEL_1_AWARE,2025-12-16T15:12:37Z,priced out,housing_despair
"Ask HN: IF you could get a functional prototype in 24h for €5k,would you buy it?",https://news.ycombinator.com/item?id=46524514,3,4,LEVEL_1_AWARE,2026-01-07T09:57:06Z,priced out,housing_despair
Show HN: Polymarket historical prices and resolution labels (5 min snapshots),https://news.ycombinator.com/item?id=46654249,3,0,LEVEL_1_AWARE,2026-01-17T00:56:36Z,priced out,housing_despair
Dell preps price hikes up to 30% citing memory pricing 'out of our control',https://www.tomshardware.com/laptops/dell-preps-massive-price-hikes-up-to-30-percent-citing-memory-pricing-out-of-our-control-company-reminds-commercial-customers-that-placing-an-order-today-for-future-delivery-will-not-guarantee-current-prices,17,2,LEVEL_1_AWARE,2025-12-16T17:51:11Z,priced out,housing_despair
Show HN: UK Butchers Meat Price Tracker,https://offer-spider.onrender.com,16,8,LEVEL_1_AWARE,2025-12-13T16:37:09Z,priced out,housing_despair
"Show HN: FOMOmeter – crypto sentiment based on crowd emotions, not price",https://www.fomometer.ai,7,1,LEVEL_1_AWARE,2026-01-22T21:26:23Z,priced out,housing_despair
Tell HN: Apple Price Gouging,https://news.ycombinator.com/item?id=46939178,6,13,LEVEL_1_AWARE,2026-02-08T22:24:10Z,priced out,housing_despair
Show HN: I was burnt out and failing so I built AI that give shit about me,https://news.ycombinator.com/item?id=46694413,5,10,LEVEL_1_AWARE,2026-01-20T17:04:33Z,priced out,housing_despair
Show HN: Julie Zero – my screen-aware desktop AI that works out of the box,https://github.com/Luthiraa/julie,5,0,LEVEL_1_AWARE,2026-01-30T15:56:30Z,priced out,housing_despair
Ask HN: How are teams sourcing long-term GPU capacity outside hyperscalers?,https://news.ycombinator.com/item?id=46623166,5,0,LEVEL_1_AWARE,2026-01-14T20:52:37Z,priced out,housing_despair
Show HN: ListofDisks – hard drive price index across 7 retailers not just Amazon,https://news.ycombinator.com/item?id=46992426,4,0,LEVEL_1_AWARE,2026-02-12T17:58:26Z,priced out,housing_despair
"Marc Andreessen's 2026 Outlook: AI Timelines, US vs. China, and the Price of AI [video]",https://www.youtube.com/watch?v=xRh2sVcNXQ8,4,0,LEVEL_1_AWARE,2026-01-08T20:02:01Z,priced out,housing_despair
Why is price comparison still so bad in 2026?,https://news.ycombinator.com/item?id=46940958,3,2,LEVEL_1_AWARE,2026-02-09T02:36:04Z,priced out,housing_despair
Ask HN: Will GPU and RAM prices ever go down?,https://news.ycombinator.com/item?id=46925529,2,5,LEVEL_1_AWARE,2026-02-07T17:16:23Z,priced out,housing_despair
Ask HN: What is your prediction for the price of computer parts in 2026?,https://news.ycombinator.com/item?id=46481925,2,2,LEVEL_1_AWARE,2026-01-03T21:42:17Z,priced out,housing_despair
"AI failure mode: when ""confidence"" replace verification and user pay the price",https://news.ycombinator.com/item?id=46476191,1,1,LEVEL_1_AWARE,2026-01-03T13:11:24Z,priced out,housing_despair
"Show HN: PriceDB – Snap a receipt photo, let AI fill it in global price sharing",https://what-i-paid.lovable.app/,1,0,LEVEL_1_AWARE,2026-01-30T10:57:58Z,priced out,housing_despair
Show HN: I built a dashboard to compare mortgage rates across 120 credit unions,https://finfam.app/blog/credit-union-mortgages,393,130,LEVEL_1_AWARE,2025-12-03T20:35:27Z,priced out,housing_despair
Show HN: I've been using AI to analyze every supplement on the market,https://pillser.com/,94,47,LEVEL_1_AWARE,2026-01-22T14:09:29Z,priced out,housing_despair
Show HN: See the carbon impact of your cloud as you code,https://dashboard.infracost.io/,67,31,LEVEL_1_AWARE,2026-01-21T15:04:07Z,priced out,housing_despair
Show HN: Stripe-no-webhooks – Sync your Stripe data to your Postgres DB,https://github.com/pretzelai/stripe-no-webhooks,66,30,LEVEL_1_AWARE,2026-02-10T17:14:48Z,priced out,housing_despair
Show HN: A website that auctions itself daily,https://www.thedailyauction.com/,43,19,LEVEL_1_AWARE,2026-01-09T01:59:32Z,priced out,housing_despair
Show HN: What is HN thinking? Real-time sentiment and concept analysis,https://ethos.devrupt.io/,37,23,LEVEL_1_AWARE,2026-02-12T19:27:53Z,priced out,housing_despair
Show HN: Aventos – An experiment in cheap AI SEO,https://www.aventos.dev/,19,16,LEVEL_1_AWARE,2026-01-16T02:57:37Z,priced out,housing_despair
